X Y Z DENSITY NUM_HITS NUM_RAYS VOX_WIDTH
58.41770172 -62.00000000 -2.74475002 2.757720 4.204190 10.000000 0.500000
58.91770172 -62.00000000 -2.74475002 1.697100 2.666670 10.000000 0.500000
59.41770172 -62.00000000 -2.74475002 1.150720 2.307690 10.000000 0.500000
59.91770172 -62.00000000 -2.74475002 1.442100 2.686570 10.000000 0.500000
60.41770172 -62.00000000 -2.74475002 1.804070 2.601630 10.000000 0.500000
60.91770172 -62.00000000 -2.74475002 2.561390 5.378910 10.000000 0.500000
61.41770172 -62.00000000 -2.74475002 4.143720 19.000000 24.000000 0.500000
61.91770172 -62.00000000 -2.74475002 5.093620 18.000000 25.000000 0.500000
37.41770172 -61.50000000 -2.74475002 1.636520 2.487310 10.000000 0.500000
37.91770172 -61.50000000 -2.74475002 1.944070 3.271030 10.000000 0.500000
38.41770172 -61.50000000 -2.74475002 1.687410 2.500000 10.000000 0.500000
38.91770172 -61.50000000 -2.74475002 3.131780 3.584910 10.000000 0.500000
39.41770172 -61.50000000 -2.74475002 1.374940 2.291670 10.000000 0.500000
39.91770172 -61.50000000 -2.74475002 1.443790 2.625000 10.000000 0.500000
40.41770172 -61.50000000 -2.74475002 3.983340 4.411770 10.000000 0.500000
40.91770172 -61.50000000 -2.74475002 1.397510 2.402600 10.000000 0.500000
41.41770172 -61.50000000 -2.74475002 6.550000 10.000000 10.000000 0.500000
41.91770172 -61.50000000 -2.74475002 8.225340 14.000000 14.000000 0.500000
42.41770172 -61.50000000 -2.74475002 10.537300 16.000000 16.000000 0.500000
42.91770172 -61.50000000 -2.74475002 7.154830 7.573330 10.000000 0.500000
43.41770172 -61.50000000 -2.74475002 5.052750 6.185630 10.000000 0.500000
43.91770172 -61.50000000 -2.74475002 12.614800 13.000000 13.000000 0.500000
44.41770172 -61.50000000 -2.74475002 10.364300 9.005410 10.000000 0.500000
44.91770172 -61.50000000 -2.74475002 5.255000 6.309090 10.000000 0.500000
45.41770172 -61.50000000 -2.74475002 2.690940 3.947370 10.000000 0.500000
45.91770172 -61.50000000 -2.74475002 1.820250 3.587790 10.000000 0.500000
46.41770172 -61.50000000 -2.74475002 1.100040 2.252250 10.000000 0.500000
46.91770172 -61.50000000 -2.74475002 2.361750 2.970300 10.000000 0.500000
47.41770172 -61.50000000 -2.74475002 2.655080 4.188030 10.000000 0.500000
47.91770172 -61.50000000 -2.74475002 1.718780 2.873560 10.000000 0.500000
48.41770172 -61.50000000 -2.74475002 2.372750 3.714290 10.000000 0.500000
