//X Y Z R G B Nx Ny Nz
58.09299850 -51.50699997 1.15024996 71 56 255 0.000000 0.000000 0.000000
58.10749817 -51.47275162 1.18375003 71 56 255 0.000000 0.000000 0.000000
58.10374832 -51.46900177 1.22175002 71 56 255 0.000000 0.000000 0.000000
58.11000061 -51.57524872 1.31099999 70 56 255 0.000000 0.000000 0.000000
58.15549850 -51.39974976 1.22800004 71 56 255 0.000000 0.000000 0.000000
58.15499878 -51.39849854 1.30250001 71 56 255 0.000000 0.000000 0.000000
58.07249832 -51.54325104 1.27174997 70 56 255 0.000000 0.000000 0.000000
58.08675003 -51.49974823 1.28324997 71 56 255 0.000000 0.000000 0.000000
58.10250092 -51.46649933 1.31200004 71 56 255 0.000000 0.000000 0.000000
58.11624908 -51.57899857 1.44250000 70 56 255 0.000000 0.000000 0.000000
58.09999847 -51.50949860 1.43649995 71 56 255 0.000000 0.000000 0.000000
58.23099899 -51.35699844 1.41174996 71 56 255 0.000000 0.000000 0.000000
58.09275055 -51.50424957 1.35874999 71 56 255 0.000000 0.000000 0.000000
58.10749817 -51.46924973 1.43050003 71 56 255 0.000000 0.000000 0.000000
58.14225006 -51.38550186 1.42375004 71 56 255 0.000000 0.000000 0.000000
58.11024857 -51.57249832 1.52324998 70 56 255 0.000000 0.000000 0.000000
58.09975052 -51.50799942 1.52575004 71 56 255 0.000000 0.000000 0.000000
58.11050034 -51.51625061 1.60724998 71 56 255 0.000000 0.000000 0.000000
58.25975037 -51.38074875 1.52450001 71 56 255 0.000000 0.000000 0.000000
58.24024963 -51.36225128 1.60775006 71 56 255 0.000000 0.000000 0.000000
58.17774963 -51.36899948 1.55949998 71 56 255 0.000000 0.000000 0.000000
58.19224930 -51.38124847 1.60074997 71 56 255 0.000000 0.000000 0.000000
58.10575104 -51.46675110 1.50750005 71 56 255 0.000000 0.000000 0.000000
58.08950043 -51.49824905 1.56924999 71 56 255 0.000000 0.000000 0.000000
58.12099838 -51.42024994 1.60074997 71 56 255 0.000000 0.000000 0.000000
58.10699844 -51.56724930 1.72549999 70 56 255 0.000000 0.000000 0.000000
58.25925064 -51.37799835 1.73599994 71 56 255 0.000000 0.000000 0.000000
58.16025162 -51.39775085 1.71025002 71 56 255 0.000000 0.000000 0.000000
58.09949875 -51.50600052 1.64300001 71 56 255 0.000000 0.000000 0.000000
58.09349823 -51.45399857 1.64024997 71 56 255 0.000000 0.000000 0.000000
58.09225082 -51.49850082 1.72099996 71 56 255 0.000000 0.000000 0.000000
58.11175156 -51.46900177 1.71274996 71 56 255 0.000000 0.000000 0.000000
58.09349823 -51.55450058 1.80774999 70 56 255 0.000000 0.000000 0.000000
58.10525131 -51.50899887 1.81200004 71 56 255 0.000000 0.000000 0.000000
58.27125168 -51.38674927 1.80974996 71 56 255 0.000000 0.000000 0.000000
58.16025162 -51.39574814 1.83599997 71 56 255 0.000000 0.000000 0.000000
58.12099838 -51.47574997 1.83500004 71 56 255 0.000000 0.000000 0.000000
58.11225128 -51.56924820 1.92299998 70 56 255 0.000000 0.000000 0.000000
58.16574860 -51.39950180 1.91050005 71 56 255 0.000000 0.000000 0.000000
58.20050049 -51.38399887 1.92700005 71 56 255 0.000000 0.000000 0.000000
58.11125183 -51.46575165 1.92474997 71 56 255 0.000000 0.000000 0.000000
58.12075043 -51.57574844 2.01300001 70 56 255 0.000000 0.000000 0.000000
58.15425110 -51.60350037 2.13199997 70 56 255 0.000000 0.000000 0.000000
58.10850143 -51.56200027 2.20624995 70 56 255 0.000000 0.000000 0.000000
58.26224899 -51.37374878 2.22425008 71 56 255 0.000000 0.000000 0.000000
58.17724991 -51.40499878 2.23525000 71 56 255 0.000000 0.000000 0.000000
58.23125076 -51.40700150 2.21250010 71 56 255 0.000000 0.000000 0.000000
58.11100006 -51.56250000 2.33975005 70 56 255 0.000000 0.000000 0.000000
58.15750122 -51.44300079 2.30524993 71 56 255 0.000000 0.000000 0.000000
58.28300095 -51.39025116 2.34375000 71 56 255 0.000000 0.000000 0.000000
58.10675049 -51.55775070 2.41525006 70 56 255 0.000000 0.000000 0.000000
